# HDIC Project
# HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
# Gaoliben Longkan Shoujing (GLS): Zhonghua Book Company edition (中華書局版), Keijo Imperial University edition (京城帝国大学版) and National Diet Library Digital Collections
# Version: 1.1.3
# Date: 3 June 2016
# Last update : 2 February 2022
#
#  Longkan Shoujing 龍龕手鏡, Koryo print 高麗本. monk Xingjun of the Liao Dynasty 遼・行均, 997.
#
# Vol.1 Koryo print 高麗本 (京城帝国大学版)
# Vol.2 Song print 宋本（續古逸叢書本影印日本古典全集別刊）
# Vol.3 Koryo print 高麗本 (京城帝国大学版)
# Vol.4 Koryo print 高麗本 (京城帝国大学版)
#
# Copyright (c) 2014-2022 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# Research group of Linguistics, Hokkaido University Faculty of Humanities and Human Siences
# North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
# Contact: Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com
#
# Data License Information and Access Rights
# License: 
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability): 
# Open access
#
GLS_Zhonghua	GLS_vol_radical	GLS_radical	NDL_url
8	v1#1	金	http://dl.ndl.go.jp/info:ndljp/pid/1194507/7
9	v1#1	金	http://dl.ndl.go.jp/info:ndljp/pid/1194507/7
10	v1#1	金	http://dl.ndl.go.jp/info:ndljp/pid/1194507/8
11	v1#1	金	http://dl.ndl.go.jp/info:ndljp/pid/1194507/8
12	v1#1	金	http://dl.ndl.go.jp/info:ndljp/pid/1194507/9
13	v1#1	金	http://dl.ndl.go.jp/info:ndljp/pid/1194507/9
14	v1#1	金	http://dl.ndl.go.jp/info:ndljp/pid/1194507/10
15	v1#1	金	http://dl.ndl.go.jp/info:ndljp/pid/1194507/10
16	v1#1	金	http://dl.ndl.go.jp/info:ndljp/pid/1194507/11
17	v1#1	金	http://dl.ndl.go.jp/info:ndljp/pid/1194507/11
18	v1#1	金	http://dl.ndl.go.jp/info:ndljp/pid/1194507/12
19	v1#1	金	http://dl.ndl.go.jp/info:ndljp/pid/1194507/12
20	v1#1	金	http://dl.ndl.go.jp/info:ndljp/pid/1194507/13
21	v1#1	金	http://dl.ndl.go.jp/info:ndljp/pid/1194507/13
22	v1#1	金	http://dl.ndl.go.jp/info:ndljp/pid/1194507/14
22	v1#2	人	http://dl.ndl.go.jp/info:ndljp/pid/1194507/14
