# HDIC Project
# HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
# KRM: Kanchi’inbon Ruiju Myogisho database
#
# Ruiju myogishō 類聚名義抄, Kanchi’in copy 観智院本, reorganized edition 改編本. 
# anonymous Buddhist monk, the latter half of the 12th century.
#
# Version: 1.1.97
# Date: 2024-06-11
# Last update : 2025-03-17
#
# Copyright (c) 2024-2025 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# Research group of Linguistics, Hokkaido University Faculty of Humanities and Human Siences
# North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
# Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com, kleinekuma@gmail.com
#
# Data License Information and Access Rights
# License: 
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability): 
# Open access
#
# KRM Format information:
# KRID_wakun_no: Serial number assigned to each Japanese reading (wakun) annotation within an item (item serial No. + wakun serial No.). A suffix (b, c, …) is added for branching Japanese reading annotations.
# KR2ID: The ID number assigned based on its location in the Kazama edition
# Entry: Hanzi glyph of the headword
# Def: Definitional annotation through Japanese reading (wakun)
# Word_form: Normalized form of a Japanese reading annotation (wakun)
# Wakun_Hanzi: Wakun in katakana, with its Hanzi form parenthesized
# Wakun_variant: Katakana wakun variation added to the primary form (usually added to the left or right side). If incorrect wakun are corrected, an arrow (←) is precedes the incorrect reading.
# Hanzi_variant: Hanzi variant glyphs
# JK_ID: ID in the Nihon Kokugo Daijiten (2e), The Shogakukan Japanese dictionary, Japanknowledge edition
# Remarks: Editor's notes
#
# Abbreviations:
# 正宗索引: 正宗敦夫編, 類聚名義抄 仮名索引, 日本古典全集刊行会, 1939-1940
# 岡田研究: 岡田希雄, 類聚名義抄の研究, 一条書房, 1944
# 望月和訓集成: 望月郁子編, 類聚名義抄: 四種声点付和訓集成, 笠間書院, 1974
# 中村文選: 中村宗彦, 九条本文選古訓集, 風間書房, 1983
# 草川和訓集成: 草川昇編, 五本対照類聚名義抄和訓集成, 汲古書院, 2000
# 西端誤写考察: 西端幸雄, 類聚名義抄における誤写の考察, 訓点語と訓点資料45, 1971
# 西端誤写諸例: 西端幸雄, 類聚名義抄における誤写の諸例, 訓点語と訓点資料52，1973
# 略注: 佐藤喜代治，色葉字類抄略注，明治書院，1995
# 群書治要: 小林芳規・原卓志・山本秀人・山本真吾・佐々木勇編, 宮内庁書陵部蔵本群書治要経部語彙索引, 汲古書院, 1996
# 毛詩鄭箋: 毛詩鄭箋（一）（二）（三）, 古典研究会叢書漢籍之部１～３, 原本所蔵静嘉堂文庫, 汲古書院, 1992
#
# Acknowledgments:
# We are grateful to Tenri Central Library and Yagi Shoten for permission to publishment of the decipherment text of KRM.
#
# This work was supported by JSPS KAKENHI Grant Number 16H03422, 19H00526, 23K17500.
#
KRID_wakun_no	KR2ID	Entry	Def	Word_form	Wakun_Hanzi	Wakun_variant	Hanzi_variant	JK_ID	Remarks
F00001_02	K0100131	人	ヒト(HL)	ひと	ヒト（人）			2002038b2b0dSG3SH587	この項目から数項目の和訓の声点の位置に言及（佐藤栄作「カタカナの字体から見た声点とその位置」『論集』13、31頁、2017年）。詩・秦風・黃鳥「人百其身」、静嘉堂文庫本毛詩鄭箋巻6・288行「人ヒト(左)ヒトヽヽ其の身を百モヽチニセン」。
F00001_03	K0100131	人	ワレ(LL)	われ	ワレ（人）			200204851767360p1xGX	蓮成院本(上1・1オ1)・高山寺本(3オ3)「ワレ(LH)」。遊仙窟「窮鬼故調人（コトサラニワレヲナヤマス）」による特殊訓な文脈に頼りすぎた訓。中村宗彦「類聚名義抄和訓の定位」14頁。声点の位置に言及（佐藤栄作「カタカナの字体から見た声点とその位置」『論集』13、31頁、2017年）。
F00001_04	K0100131	人	サネ	さね	サネ（人）			200201c243db1ru6IIxZ	蓮成院本(上1・1オ1)「サネ(LL)」。高山寺本(3オ3)「サネ(LL)」。正宗索引「尒はネ」。中村宗彦は「サニ」と判読し「「仁」の通用であるならば当然その旨の注記が望ましい」とする（中村宗彦「類聚名義抄和訓の定位」14頁）。
F00001_05	K0100131	人	マホル	まぼる	マボル（人）			200203f5cc6eD384M7bW	
F00001_06	K0100131	人	ユク	ゆく	ユク（人）			20020447be39Z4Y8rP88	
F00002_01	K0100133	一／人	ヒトリ(LH@)	ひとり	ヒトリ（一人）			2002038ecdd3XdKnc83p	蓮成院本(上1・1オ1)・高山寺本(3オ4)「ヒトリ(LHL)」。
F00003_01	K0100134	二／人	フタリ(HHL)	ふたり	フタリ（二人）			200203af0a542M8zXFS8	
F00004_01	K0100141	五／ー（人）	イトリ(LHL)	いとり	イトリ（五人）			2002004af4cczk89koWk	書・夏書・五子之歌「厥弟五人御其母以從」、内野本「五人イトリ」。中村文選(534頁・好)「五子イトリノ」。日国「い‐とり 【五人】」補注に「多く訓点資料に用いられる。」とあり。
F00005_01	K0100142	ー（人）／等	ヒトヽモ(HHH"H)	ひとども	ヒトドモ（人等）			N/A	日国未収。
F00006_01	K0100143	湯／ー（人）	ユヱ(L@)	ゆゑ	ユヱ（湯人）			20020445e9e3Cl3L4FY3	高山寺本(3オ4)「ユヱ(LL)」。日本書紀巻14雄略天皇三年四月に「湯人　此云臾衛」。日国に「令制前、貴人の産児に湯をつかわせる役の女性。また、皇子・皇女の養育者をもいう。湯殿に奉仕する人の意ともいう」と説明。
F00007_01	K0100144	真／人	マフト(HHL)	まふと	マフト（真人）			20020423f3009MUQ9Qs8	蓮成院本(上1・1オ1)・高山寺本(3オ5)「マフト(HHH)」。
F00008_01	K0100151	漁／ー（人）	アマ(LL)	あま	アマ（漁人）			2002001f021e9Z9IK9Kr	
F00009_01	K0100152	海／ー（人）	同上	あま	アマ（海人）			2002001f021e9Z9IK9Kr	
