#   HDIC Project
#   Integrated Database of Hanzi Dictionaries in Early Japan
#
#   KTB: Kosanjibon Tenrei Bansho Meigi database -- Full text version
#   =================================================================
#
#   Kosanjibon Tenrei bansho meigi 篆隸萬象名義, Kosanji copy 高山寺本.
#   Buddhist monk Kukai of the Heian period 空海, c. 827-835.
#   A Hanzi (Chinese character) dictionary.
#
#   Version: 1.0.112
#   Date published: 1 September 2016
#   Last modified: 6 April 2019
#
#   Copyright (c) 2016-2019 HDIC project, IKEDA Shoju (Chair)
#   LI Yuan (Person in charge of text data proofreading)
#   LIU Guanwei (Person in charge of image database design and implementation)
#   Department of Linguistic Sciences, Hokkaido University Graduate School of Letters
#   North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#   Contact: hdic_info@let.hokudai.ac.jp
#
#   Feel free to copy and distribute.
#   Send bug reports and feature requests via email.
#
#   TSV Format information
#   ----------------------
#   TBID (v_www_xyz)          Book(v), leaf(www), recto-verso(x), line(y) and number(z)
#   TB_vol_radical (xx#yyy)   Volume(xx) and radical number(yyy)
#   TB_radical                Radical of Chinese character 
#   Entry                     Headword
#   Entry_type                For details, refer to the following section
#   Entry_diff                Differences of transliteration with other scholars
#   TB_def                    Definition of pronunciation, meaning and variant(s)
#   SYID (vwwwxyyz)           Book(v), leaf(www), recto-verso(x), line(yy) and number(z)
#   YYID (Ywwxxxyyy-z)        Volume(ww), leaf(xxx), line(yyy) and number(z)
#   TB_remarks                Editor's notes
#
#   Entry_type
#   ----------
#   Group a   --- Regular headword
#   1 Regular                 隸書掲出字 (= Regular_clerical)
#   2 Regular_seal            隸書掲出字 篆書併存
#
#   Group b -- Embedded headword
#   3 Embedded_clerical       埋字 隸書字體
#   4 Embedded_omitted        埋字 脫落
#   5 Embedded_seal           埋字 篆書字體
#
#   Group c -- Omitted headword
#   6 Omitted                 脫字 項目全體 脫落
#   7 Omitted_regular         脫字 隸書掲出字 脫落
#
#   Group d -- Variant of the Songben Yupian
#   8 Songben-Yupian          宋本《玉篇》增補之異體字
#
#   cf. Li 2015.
#   ＊6 Omitted               項目全體脱落
#                            《説文解字》、《玉篇》殘卷・佚文、《新撰字鏡》玉篇引用部分等、本文存
#
#   Abbreviations
#   -------------
#   TB: Tenrei Bansho Meigi 篆隸萬象名義, Kosanji copy 高山寺本
#   YY: Yuanben Yupian 原本玉篇, fragments of vol.8, 9, 18, 19, 22, 24 and 27
#   SY: Songben Yupian 宋本玉篇, Zecuntang edition 澤存堂本
#
#   白: Shirafuji's transliteration 
#   宮: Miyazawa's transliteration
#   上: Ueda's transliteration
#   呂: Lv's transliteration
#
#   References
#   ----------
#   Shirafuji Noriyuki 白藤禮幸, An Index of Headwords in the Tenrei Bansho Meigi 掲出字索引, Materials from Ancient Glossaries in the Kosanji Temple Collection 1 高山寺古辭書資料第一, Tokyo: Uiversity of Tokyo Press 東京大学出版会, 1977.
#   Miyazawa Toshimasa 宮澤俊雅, A List of Headwords with Notes in the Tenrei Bansho Meigi 掲出字一覽表, Materials from Ancient Glossaries in the Kosanji Temple Collection 1 高山寺古辭書資料第一, Tokyo: University of Tokyo Press 東京大学出版会, 1977.
#   Ueda Tadashi 上田正, A Complete List of Fanqie in the Original Yupian 玉篇反切總覽, Kobe: Private edition, 1986.
#   Lv Hao 呂浩, Zhuanli Wanxiang Mingyi: A Transliteration and Text-critical Notes 篆隸萬象名義校釋, Shanghai: Xuelin Press 學林出版社, 2007.
#   Li Yuan 李媛, Embedded and Omitted Headword: Issues Regarding Entry Counts in Tenrei-Bansho-Meigi 埋字と脫字―篆隸象名義の掲出字數をめぐる問題―, Kuntengo to Kunten-Shiryo 訓點語と訓點資料 135: 60-78, 2015.
#
#   Acknowledgments
#   ---------------
#   We are grateful to Kosanji Temple authorities Ogawa Chie (the previous chief priest) and Ishizuka Harumichi (the representative director) for permission to publish the decipherment text of KTB.
#   This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422.
#
TBID	TB_vol_radical	TB_radical	Entry	Entry_type	Entry_diff	TB_def	SYID	YYID	TB_remarks
1_016_A51	v1#1	一	一	Regular_seal		於逸反。少也、初也、同也。〔弌：古文。〕	a005a101		有埋字B。G01首
1_016_A52	v1#1	一	弌	Embedded_clerical		弌：古文。	a005b011		埋字B。
1_016_A53	v1#1	一	天	Regular_seal		泰堅反。顛也、顯也、君也。〔𠀡：古文。〕〔𠀘：古文。〕〔兲：古文。〕〔𠕹：古文。〕	a005b012		有埋字B。泰：原作秦。
1_016_A54	v1#1	一	𠀡	Embedded_clerical		𠀡：古文。	a005b051		埋字B。
1_016_A55	v1#1	一	𠀘	Embedded_clerical		𠀘：古文。	a005b052		埋字B。
1_016_A56	v1#1	一	兲	Embedded_clerical		兲：古文。	△		埋字B。
1_016_A57	v1#1	一	𠕹	Embedded_clerical		𠕹：古文。	△		埋字B。
1_016_A61	v1#1	一	元	Regular_seal		魚園反。大也、始也、首也、長也。〔元(seal)：古文。〕	a005b053		有埋字B。
1_016_A611	v1#1	一	元	Embedded_seal		元(seal)：古文。			埋字B。篆書字形。
1_016_A62	v1#1	一	丕	Regular_seal		普坻反。㶨也、大也、多也。	a005b071		
1_016_B11	v1#1	一	吏	Regular_seal		理致反。使也、君所使也。〔吏(seal)：古文。〕三吏、三公也。	a005b072		有埋字B。
1_016_B111	v1#1	一	吏	Embedded_seal		吏(seal)：古文。			埋字B。篆書字形。吏(seal)：呂作⿱⿱山一⿱口又。
1_016_B31	v1#2	上	上	Regular_seal		時讓反。前也、遠也、君也、登也。〔丄：古文。〕	a005b101		有埋字B。
1_016_B32	v1#2	上	丄	Embedded_clerical		丄：古文	a006a011		埋字B。
1_016_B33	v1#2	上	帝	Regular_seal		都麗反。君也、諦也、天也。〔𢂇(seal)：古文。〕〔𠫦(seal)：古文。〕	a006a012		有埋字B。
1_016_B34	v1#2	上	𢂇	Embedded_seal		𢂇(seal)：古文。	a006a031		埋字B。篆書字形。
1_016_B35	v1#2	上	𠫦	Embedded_seal		𠫦(seal)：古文。	△		埋字B。篆書字形。
1_016_B41	v1#2	上	旁	Regular_seal		薄唐反。側也、方也。〔雱：古文。〕〔㝑、㫄、𣃙、𣃟、⿳宀二方：皆古文𢂇(帝)旁。〕	a006a032		有埋字B六字。𢂇：帝之異体、衍字。
1_016_B42	v1#2	上	雱	Embedded_clerical		雱：古文。	a006a041		埋字B。掲出字：原作⿱罒刀、呂作⿱八方。
1_016_B43	v1#2	上	㝑	Embedded_clerical		㝑：（皆古文。旁。）	b004a083		埋字B。掲出字：據呂《校釋》。宋本《玉篇》宀部。
1_016_B44	v1#2	上	㫄	Embedded_clerical		㫄：（皆古文。旁。）			埋字B。呂作⿳二冖方。
1_016_B45	v1#2	上	𣃙	Embedded_clerical		𣃙：（皆古文。旁。）	a006a043		埋字B。掲出字：據呂《校釋》。
1_016_B46	v1#2	上	𣃟	Embedded_clerical		𣃟：（皆古文。旁。）	a006a042		埋字B。掲出字：據呂《校釋》。
1_016_B47	v1#2	上	⿳宀二方	Embedded_clerical		⿳宀二方：皆古文。旁。			埋字B。掲出字：據呂《校釋》。
1_016_B51	v1#2	上	下	Regular_seal		遐嘏反。去也、後也、賤也、落也、底也、服也、降也。〔丅β：古文〕、〔下γ：古文。〕	a006a044		有埋字B二字。
1_016_B52	v1#2	上	丅	Embedded_clerical		〔古文〕	△		埋字B。
1_017_A11	v1#3	示	示	Regular_seal		時志反。語也、見也。〔𥘅：古文。〕	a006a071		有埋字B。
1_017_A12	v1#3	示	𥘅	Embedded_clerical		𥘅：古文。	a006a081		埋字B。
1_017_A13	v1#3	示	神	Regular_seal		視仁反。鬼也、治也、慎也、重也、引也。〔神β・神γ：古文。〕	a006a082		有埋字B二字。宮澤無此二字。
1_017_A14	v1#3	示	神β	Embedded_clerical		神β：古文。			埋字B。
1_017_A15	v1#3	示	神γ	Embedded_clerical		神γ：古文。			埋字B。
1_017_A21	v1#3	示	祇	Regular_seal		渠支反。大也、敬也。	a006a091		
