#	HDIC Project
#
#	Integrated Database of Hanzi Dictionaries in Early Japan
#
#	KTB_entries : Kosanjibon Tenrei Bansho Meigi database
#
#	Kosanjibon Tenrei Bansho Meigi 篆隷萬象名義, Kosanji copy 高山寺本.
#	monk Kukai of the Heian Period 空海, c. 827-835.
#	A Hanzi (Chinese character) dictionary.
#
#	Version: 1.4.2
#	Date: 25 September 1994
#	Last update : 2 February 2022
#
#	Copyright (c) 1994-2022 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
#	Research group of Linguistics, Hokkaido University Faculty of Humanities and Human Siences
#	North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#	Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com
#
#	Data License Information and Access Rights
#	License: 
#	Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
#	Access Rights (Availability): 
#	Open access
#
#	TSV Format information:
#	----------------------
#	TBID (v_www_xyz) 	: Book(v), leaf(www), recto-verso(x), line(y) and number(z)
#	TB_vol_radical (xx#yyy)	: Volume(xx) and radical number(yyy)
#	TB_radical	: Radical of Chinese character 
#	Entry		: Headword
#	Entry_type	: For details, refer to the following section
#	Entry_diff	: Differences of transliteration with other scholars
#	SYID (vwwwxyyyzz)	: Book(v), leaf(www), recto-verso(x), line(yy) and number(z)
#	YYID (Ywwxxxyy-z)	: Volume(ww), leaf(xxx), line(yy) and number(z)
#	TB_remarks	: Editor's notes
#
#	Entry_type:
#	----------
#	Group a	--- Regular headword
#	1 Regular				: 隷書掲出字 (= Regular_clerical)
#	2 Regular_seal			: 隷書掲出字 篆書併存
#
#	Group b -- Embedded headword
#	3 Embedded_clerical		: 埋字 隷書字体
#	4 Embedded_omitted		: 埋字 脱落
#	5 Embedded_seal			: 埋字 篆書字体
#
#	Group c -- Omitted headword
#	6 Omitted				: 脱字 項目全体 脱落
#	7 Omitted-regular		: 脱字 隷書掲出字 脱落
#
#	Group d -- Variant of the Songben Yupian
#	8 Songben-Yupian		: 宋本《玉篇》増補之異体字
#
#   cf. Li 2015.
#   ＊6 Omitted : 項目全体脱落
#　　　　　　　　　 《説文解字》、《玉篇》残巻・佚文、《新撰字鏡》玉篇引用部分等、本文存
#
#	Abbreviations:
# 	-------------
#	TB	: Tenrei Bansho Meigi 篆隷万象名義, Kosanji copy 高山寺本
#	YY	: Yuanben Yupian 原本玉篇, fragments of vol.8, 9, 18, 19, 22, 24 and 27
#	SY	: Songben Yupian 宋本玉篇, Zecuntang edition 澤存堂本
#
# 	白	: Shirafuji's transliteration 
# 	宮	: Miyazawa's transliteration
#	上	: Ueda's transliteration
#	呂	: Lv's transliteration
#
#	References:
#	----------
#	Shirafuji	: Shirafuji Noriyuki 白藤禮幸, An Index of Headwords in the Tenrei Bansho Meigi 掲出字索引, Materials from Ancient Glossaries in the Kosanji Temple Collection 1 高山寺古辞書資料第一, Tokyo: Uiversity of Tokyo Press 東京大学出版会, 1977.
#	Miyazawa	: Miyazawa Toshimasa 宮澤俊雅, A List of Headwords with Notes in the Tenrei Bansho Meigi 掲出字一覧表, Materials from Ancient Glossaries in the Kosanji Temple Collection 1 高山寺古辞書資料第一, Tokyo: University of Tokyo Press 東京大学出版会, 1977.
#	Ueda		: Ueda Tadashi 上田正, A Complete List of Fanqie in the Original Yupian 玉篇反切総覧, Kobe: Private edition, 1986.
#	Lv		: Lv Hao 呂浩, Zhuanli Wanxiang Mingyi: A Transliteration and Text-critical Notes 篆隸萬象名義校釋, Shanghai: Xuelin Press 學林出版社, 2007.
#   Li      : Li Yuan 李媛, Embedded and Omitted Headword: Issues Regarding Entry Counts in Tenrei-Bansho-Meigi 埋字と脱字―篆隷万象名義の掲出字数をめぐる問題―, Kuntengo to Kunten-Shiryo 訓点語と訓点資料 135: 60-78, 2015.
#
#	This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422.
#
TBID	TB_vol_radical	TB_radical	Entry	Entry_type	Entry_diff	SYID	YYID	TB_remarks
1_016_A51	v1#1	一	一	Regular_seal		a005a101		有埋字B。G01首
1_016_A52	v1#1	一	弌	Embedded_clerical		a005b011		埋字B。
1_016_A53	v1#1	一	天	Regular_seal		a005b012		有埋字B。
1_016_A54	v1#1	一	𠀡	Embedded_clerical		a005b051		埋字B。
1_016_A55	v1#1	一	𠀘	Embedded_clerical		a005b052		埋字B。
1_016_A56	v1#1	一	兲	Embedded_clerical		△		埋字B。
1_016_A57	v1#1	一	𠕹	Embedded_clerical		△		埋字B。
1_016_A61	v1#1	一	元	Regular_seal		a005b053		有埋字B。
1_016_A611	v1#1	一	元	Embedded_seal				埋字B。篆書字形。
1_016_A62	v1#1	一	丕	Regular_seal		a005b071		
1_016_B11	v1#1	一	吏	Regular_seal		a005b072		有埋字B。
1_016_B111	v1#1	一	吏	Embedded_seal				埋字B。篆書字形。
1_016_B31	v1#2	上	上	Regular_seal		a005b101		有埋字B。
1_016_B32	v1#2	上	丄	Embedded_clerical		a006a011		埋字B。
1_016_B33	v1#2	上	帝	Regular_seal		a006a012		有埋字B。
1_016_B34	v1#2	上	𢂇	Embedded_seal		a006a031		埋字B。篆書字形。
1_016_B35	v1#2	上	𠫦	Embedded_seal		△		埋字B。篆書字形。
1_016_B41	v1#2	上	旁	Regular_seal		a006a032		有埋字B六字。𢂇：帝之異体、衍字。
1_016_B44	v1#2	上	㫄	Embedded_clerical				埋字B。呂作⿳二冖方。
1_016_B43	v1#2	上	㝑	Embedded_clerical		b004a083		埋字B。掲出字：據呂《校釋》。宋本《玉篇》宀部。
1_016_B42	v1#2	上	雱	Embedded_clerical		a006a041		埋字B。掲出字：原作⿱罒刀、呂作⿱八方。
1_016_B46	v1#2	上	𣃟	Embedded_clerical		a006a042		埋字B。掲出字：據呂《校釋》。
1_016_B47	v1#2	上	⿳宀二方	Embedded_clerical				埋字B。掲出字：據呂《校釋》。
1_016_B45	v1#2	上	𣃙	Embedded_clerical		a006a043		埋字B。掲出字：據呂《校釋》。
1_016_B51	v1#2	上	下	Regular_seal		a006a044		有埋字B二字。
1_016_B52	v1#2	上	丅	Embedded_clerical		△		埋字B。
1_017_A11	v1#3	示	示	Regular_seal		a006a071		有埋字B。
1_017_A12	v1#3	示	𥘅	Embedded_clerical		a006a081		埋字B。
1_017_A13	v1#3	示	神	Regular_seal		a006a082		有埋字B二字。宮澤無此二字。
1_017_A14	v1#3	示	神β	Embedded_clerical				埋字B。
1_017_A15	v1#3	示	神γ	Embedded_clerical				埋字B。
1_017_A21	v1#3	示	祇	Regular_seal		a006a091		
1_017_A22	v1#3	示	齋	Regular_seal		a006a101		有埋字Bニ字。
1_017_A23	v1#3	示	𪗒	Embedded_clerical		a006a102		埋字B。
1_017_A24	v1#3	示	⿰𧆞眞	Embedded_clerical				埋字B。齋文也：呂作「籀文也」。
1_017_A31	v1#3	示	祕	Regular_seal		a006b001		
1_017_A32	v1#3	示	祗	Regular_seal		a006b002		有埋字B。
1_017_A33	v1#3	示	祗β	Embedded_clerical				埋字B。宮澤無此字。
1_017_A41	v1#3	示	祭	Regular_seal		a006b013		有埋字B。反切下字：據呂《校釋》。
1_017_A411	v1#3	示	祭λ	Embedded_clerical				埋字B。祭λ：呂作肧。
1_017_A43	v1#3	示	祀	Regular_seal		a006b022		有埋字A・B。裸衣(禩β)、祼大(禩γ):一字誤作二字歟。祼大(禩γ)。
1_017_A44	v1#3	示	禩	Embedded_clerical		a006b023		埋字B(禩β)。裸衣：禩之誤。
1_017_A45	v1#3	示	䃾	Embedded_clerical		a006b021		埋字A。次項同。宮澤無△印。
1_017_A46	v1#3	示	禩	Embedded_clerical		a006b023		埋字B(禩γ)。裸大：禩之誤。
1_017_A51	v1#3	示	䃾	Regular_seal		△(a006b021)		
1_017_A52	v1#3	示	祏	Regular_seal		a006b024		
1_017_A61	v1#3	示	禋	Regular_seal		a006b025		有埋字B。
1_017_A62	v1#3	示	𥛛	Embedded_clerical		a006b031		埋字B。
1_017_A62	v1#3	示	𡫚	Regular	白	a006b031		
