#	HDIC Project
#	HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
#	Kosanjibon Tenrei Bansho Meigi (KTB) : Subun Sosho edition (崇文叢書版) and National Diet Library Digital Collections
#
#	Kosanjibon Tenrei bansho meigi 篆隷萬象名義, Kosanji copy 高山寺本.
#	monk Kukai of the Heian period 空海, c. 827-835.
#	A Hanzi (Chinese character) dictionary.
#
#	Version: 1.1.1
#	Date published : 4 September 2016
#	Last modified : 5 January 2022
#
#   Copyright (c) 2016-2021 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
#   LI Yuan (Person in charge of text data proofreading)
#   LIU Guanwei (Person in charge of image database design and implementation)
#   Research group of Linguistics, Hokkaido University Faculty of Humanities and Human Siences
#   North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#   Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com
#
#   Data License Information and Access Rights
#   License: 
#   Creative Commons Attribution-NonCommercial 4.0 International License (CC BY-NC 4.0)
#   Access Rights (Availability): 
#   Open access
#
#	TSV Format information:
#	----------------------
#	Vol_radical (xx#yyy)	: Volume(xx) and radical number(yyy) of Yuanben Yupian
#   KTB_vol : Gensen(G, the original part)-Zokusen(Z, the sequel part) and volume(xx) of KTB
#	Radical	: Radical of Chinese character 
#	Book_leaf (v_www_x) 	: Book(v), leaf(www), recto-verso(x) of KTB
#	NDL_url		: URL of National Diet Library Digital Collections
#
#	This work was supported by JSPS KAKENHI Grant Number 16H03422, 19H00526.
#
Vol_radical	KTB_vol Radical	Book_leaf	NDL_url
v1#1	G01	一	1_016_A	null
v1#1	G01	一	1_016_B	null
v1#2	G01	上	1_016_B	null
v1#3	G01	示	1_017_A	null
v1#3	G01	示	1_017_B	null
v1#3	G01	示	1_018_A	null
v1#3	G01	示	1_018_B	null
v1#3	G01	示	1_019_A	null
v1#3	G01	示	1_019_B	null
v1#3	G01	示	1_020_A	null
v1#3	G01	示	1_020_B	null
v1#4	G02	二	1_021_A	null
v1#5	G02	三	1_021_B	null
v1#6	G02	王	1_021_B	null
v1#7	G02	玉	1_021_B	null
v1#7	G02	玉	1_022_A	null
v1#7	G02	玉	1_022_B	null
v1#7	G02	玉	1_023_A	null
v1#7	G02	玉	1_023_B	null
v1#7	G02	玉	1_024_A	null
v1#7	G02	玉	1_024_B	null
v1#7	G02	玉	1_025_A	null
v1#7	G02	玉	1_025_B	null
v1#7	G02	玉	1_026_A	null
v1#7	G02	玉	1_026_B	null
v1#7	G02	玉	1_027_A	null
v1#7	G02	玉	1_027_B	null
v1#7	G02	玉	1_028_A	null
v1#7	G02	玉	1_028_B	null
v1#8	G03	玨	1_029_A	null
v2#9	G04	土	1_029_A	null
v2#9	G04	土	1_029_B	null
v2#9	G04	土	1_030_A	null
v2#9	G04	土	1_030_B	null
v2#9	G04	土	1_031_A	null
v2#9	G04	土	1_031_B	null
v2#9	G04	土	1_032_A	null
v2#9	G04	土	1_032_B	null
v2#9	G04	土	1_033_A	null
v2#9	G04	土	1_033_B	null
v2#9	G04	土	1_034_A	null
v2#9	G04	土	1_034_B	null
v2#9	G04	土	1_035_A	null
v2#9	G04	土	1_035_B	null
v2#9	G04	土	1_036_A	null
v2#9	G04	土	1_036_B	null
v2#9	G04	土	1_037_A	null
v2#9	G04	土	1_037_B	null
v2#10	G05	垚	1_037_B	null
v2#10	G05	垚	1_038_A	null
v2#11	G05	𡏳	1_038_A	null
v2#12	G05	里	1_038_A	null
v2#13	G05	田	1_038_A	null
v2#13	G05	田	1_038_B	null
v2#13	G05	田	1_039_A	null
v2#13	G05	田	1_039_B	null
v2#13	G05	田	1_040_A	null
v2#14	G05	畕	1_040_A	null
v2#15	G05	黄	1_040_A	null
v2#15	G05	黄	1_040_B	null
v2#16	G05	丘	1_040_B	null
v2#17	G05	京	1_040_B	null
v2#18	G05	冂	1_040_B	null
v2#18	G05	冂	1_041_A	null
