TB_Seal_ID	NDL_IIIF_Image_API_Base_URI	x	y	width	height
T1_016_A51	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000018	916	638	220	290
T1_016_A53	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000018	876	2468	250	270
T1_016_A61	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000018	586	630	260	330
T1_016_A62	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000018	572	2464	250	340
T1_016_B11	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	4628	606	200	350
T1_016_B31	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	4002	610	210	130
T1_016_B31_2	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	4004	740	210	190
T1_016_B33	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	4020	2420	200	300
T1_016_B33_2	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	4120	2750	160	220
T1_016_B41	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	3684	598	230	270
T1_016_B41_2	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	3682	860	220	260
T1_016_B41_3	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	3672	1134	250	290
T1_016_B41_4	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	3688	1460	250	300
T1_016_B51	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	3366	606	210	190
T1_016_B51_2	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	3360	814	220	280
T1_017_A11	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	2156	640	210	240
T1_017_A11_2	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	2168	904	180	220
T1_017_A13	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	2132	2424	260	270
T1_017_A21	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	1822	626	240	280
T1_017_A22	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	1824	2410	260	410
T1_017_A31	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	1520	624	250	270
T1_017_A32	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	1510	2418	210	270
T1_017_A41	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	1208	614	250	390
T1_017_A43	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	1210	2416	210	240
T1_017_A43_2	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	1210	2638	210	250
T1_017_A51	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	898	622	260	270
T1_017_A52	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	906	2432	250	280
T1_017_A61	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	592	642	240	250
T1_017_A61_2	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	576	874	250	300
T1_017_A63	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	546	2422	250	320
T1_017_A63_2	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000019	566	2728	240	300
T1_017_B11	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	4628	606	240	260
T1_017_B12	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	4620	2434	230	280
T1_017_B21	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	4312	612	230	250
T1_017_B22	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	4320	2424	210	270
T1_017_B31	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	3994	604	240	270
T1_017_B32	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	4000	2412	260	310
T1_017_B41	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	3702	606	230	240
T1_017_B42	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	3702	2412	250	290
T1_017_B51	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	3384	594	250	290
T1_017_B52	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	3366	2426	250	310
T1_017_B61	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	3078	602	220	280
T1_018_A11	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	2122	614	290	370
T1_018_A12	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	2084	2434	250	330
T1_018_A21	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	1806	842	230	300
T1_018_A22	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	1780	2430	250	330
T1_018_A31	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	1500	604	260	290
T1_018_A32	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	1470	2444	230	270
T1_018_A41	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	1200	806	260	330
T1_018_A43	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	1166	2442	290	410
T1_018_A51	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	894	604	270	360
T1_018_A52	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	844	2418	270	320
T1_018_A61	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	590	802	270	280
T1_018_A62	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000020	542	2426	290	320
T1_018_B11	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	4614	584	286	360
T1_018_B12	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	4626	2452	256	334
T1_018_B21	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	4318	770	292	316
T1_018_B22	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	4324	2422	252	310
T1_018_B22_2	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	4334	2746	246	294
T1_018_B22_3	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	4342	3050	232	216
T1_018_B31	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	4006	618	244	444
T1_018_B32	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	4020	2424	228	250
T1_018_B32_2	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	4010	2678	240	276
T1_018_B41	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	3700	592	268	312
T1_018_B42	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	3702	2440	258	264
T1_018_B51	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	3368	788	234	292
T1_018_B52	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	3402	2434	240	276
T1_018_B61	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	3052	600	246	340
T1_018_B62	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	3082	2458	226	280
T1_019_A11	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	2202	634	256	310
T1_019_A12	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	2166	2454	280	276
T1_019_A21	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	1880	624	228	270
T1_019_A22	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	1854	2468	282	376
T1_019_A31	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	1564	812	228	294
T1_019_A32	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	1544	2472	258	334
T1_019_A41	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	1252	598	264	346
T1_019_A42	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	1238	2460	210	208
T1_019_A42_2	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	1240	2678	222	280
T1_019_A51	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	946	842	258	298
T1_019_A52	https://www.dl.ndl.go.jp/api/iiif/1245837/R0000021	912	2470	214	310
