#	HDIC Project
#	HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
#	Songben Yupian (SYP) : (宋本玉篇) and
#			the copy in Imperial Household Agency Archives and Mausolea Department (宮内庁書陵部),
#			IIIF images provided through Keio Institute of Oriental Classics (慶應義塾大学附属研究所斯道文庫).
#
#	Version: 0.0.2
#	Date: 6 May 2024
#	Last update : 8 May 2024
#
#	Copyright (c) 2016-2024 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
#	LI Yuan (Person in charge of text data proofreading)
#	LIU Guanwei (Person in charge of image database design and implementation)
#	Research group of Linguistics, Hokkaido University Faculty of Humanities and Human Siences
#	North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#	Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com
#
#	This data is based on SYP.tsv (2023-08-29), compiled by suzuki toshiya and MORIOKA Tomohiko.
#
#	Data License Information and Access Rights
#	License: 
#	Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
#	Access Rights (Availability): 
#	Open access
#
#	TSV Format information:
#	----------------------
#	Vol_radical:	volume number & radical number separated by "#", both are not zero-padded.
#	Book:	SYP is bounded to 3 parts, upper (上) = a, middle (中) = b, and lower (下) = c.
#	Leaf:	Leaf number printed on the center of the leaf.
#	Recto-verso:	a is for the right side of the leaf, b is for the left side of the leaf (leaf, not in spread-view)
#	Radical:	UTF-8 single character of the radical
#	Keio_url:	URL of manifest.json, 3 manifest.json files are provided for each book
#	Page_iiif:	page number under specified IIIF manifest
#
#	Regular expression for each column:
#	----------------------
#	Vol_radical:	v[1-9][0-9]*{1,3}#[1-9][0-9]*{1,3}
#	Book:	[abc]
#	Leaf:	[0-9]{3}
#	Recto-verso:	[ab]
#	Radical:	.
#	Keio_url:	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-00[123]/manifest.json
#	Page_iiif:	[0-9]{3}
#
#	This work was supported by JSPS KAKENHI Grant Number 16H03422, 19H00526, 22K12719.
#
Vol_radical	Book	Leaf	Recto-verso	Radical	Keio_url	Page_iiif
v1#1	a	005	a	一	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	008
v1#1	a	005	b	一	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	009
v1#2	a	005	b	上	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	009
v1#2	a	006	a	上	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	009
v1#3	a	006	a	示	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	009
v1#3	a	006	b	示	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	010
v1#3	a	007	a	示	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	010
v1#3	a	007	b	示	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	011
v1#4	a	007	b	二	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	011
v1#4	a	008	a	二	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	011
v1#5	a	008	a	三	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	011
v1#6	a	008	a	王	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	011
v1#7	a	008	a	玉	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	011
v1#7	a	008	b	玉	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	012
v1#7	a	009	a	玉	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	012
v1#7	a	009	b	玉	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	013
v1#7	a	010	a	玉	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	013
v1#7	a	010	b	玉	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	014
