#   HDIC Project
#   Integrated Database of Hanzi Dictionaries in Early Japan
#
#   TSJ: Tenjibon Shinsen Jikyo database -- Headwords and definitions
#
#   Tenjibon Shinsen Jikyo 新撰字鏡, Tenji copy 天治本.
#   A complete manuscript of 1124 is held by the Imperial Household Archives.
#   Buddhist monk Shoju 昌住, c. 898-901.
#   A Hanzi (Chinese character) dictionary.
#
#   TSJ_definitions.tsv
#   Version: 1.0.48
#   Date published: 28 June 2018
#   Last modified: 12 September 2019
#
#   Copyright (c) 2018-2019 HDIC project, IKEDA Shoju (Chair)
#	LI Yuan (Person in charge of text data proofreading)
#	LIU Guanwei (Person in charge of image database design and implementation)
#   Department of Linguistic Sciences, Hokkaido University Graduate School of Letters
#   North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#   Contact: hdic_info@let.hokudai.ac.jp
#
#   Feel free to copy and distribute.
#   Send bug reports and feature requests via email.
#
#   TSV format information:
#   [SJID (svvwwxyyz)        Book(vv), leaf(ww), recto-verso(x), line(yy) and number(z). Refer to TSJ_entries.tsv]
#   SJ2ID                    For headword of two or more characters, add 'a, b, ..., n' at the end of SJID
#   Entry_word               Headword
#   SJ_def                   Definition of pronunciation, meaning and variant(s)
#   SJ_def_remarks           Editor's notes
#
#   Acknowledgments:
#   We are grateful to the Imperial Household Archives 宮内廳書陵部 for permission to publish the decipherment text of TSJ.
#   This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422, 19H00526.
#
TSJ2ID	Entry_word	SJ_def	SJ_remarks
s0104a601	天	躰年他前二反。平聲：顛也，尊也，頂也，君清輕在上也。	
s0104a602a	𬻃⿳一丷兀𠕹⿳一⿰从兀	四字皆天，古文。	
s0104a701	⿸疒⿱龷天	天字。	
s0104a702a	昊⿱⿰日白平	二同。下老反。上聲：昊天夏天也。	
s0104a704	⿱曰⿰干乇	上同字。	
s0104a705	鬵	字林反。釜属也。倭云加奈戸。𩱭字。	
s0104a801	替	他計反。去：癈也，代也。	
s0104a802	呑	土天土言二反。平：食也，咽也，滅也。又曲音，頓音。	
s0104a803	𡘸	古典反。上：小束也。	
s0104a804	昋	古惠反。去。或作炅。光明也，人姓也。和云比加利弖留。	
s0104b101	䪞	才盍反。入：悪也。	
s0104b102	𠿓	□(先)盍反。入：醜也。加太奈志。	
s0104b103	蚕	丁殄反。上：竪蚕也。久礼〻〻弥受。	
s0104b201	噆	子盍反。入：䖵呪𠮾也。比留須比波牟。	
s0104b202	忝	土點反。上：辰(辱)也。波豆。	
s0104b203	吴	古胡反。国名。	
s0104b204	𥉁	苦普反。瞿字，在連字部。	
s0104b301	奡	午到反。傲字同。嫚也。	
s0104b302	臩	嬀回(冋)反。驚走也，往来皃，走也。	
s0104b303a	栞β𣓁	二形同。在木部。	
s0104b305b	謂天宆隆又曰乹台	於保曽良。	
s0104b406c	空天天中虚空	皆天台。	
s0104b412d	謂九天	(無)	
s0104b412e	蒼天	東方。	
s0104b503f	炎天	南方。	
s0104b505g	昊天	西方。	
s0104b507h	幽天	西方。	
