#   HDIC Project
#   Integrated Database of Hanzi Dictionaries in Early Japan
#
#   TSJ: Tenjibon Shinsen Jikyo database -- Full list of headwords
#   ==============================================================
#
#   Tenjibon Shinsen Jikyo 新撰字鏡, Tenji copy 天治本.
#   A complete manuscript of 1124 is held by the Imperial Household Archives.
#   Buddhist monk Shoju 昌住, c. 898-901.
#   A Hanzi (Chinese character) dictionary.
#
#   TSJ_entries.tsv
#   Version: 1.0.28
#   Date published: 23 June 2018
#   Last modified: 12 September 2019
#
#   Copyright (c) 2018-2019 HDIC project, IKEDA Shoju (Chair)
#   LI Yuan (Person in charge of text data proofreading)
#   LIU Guanwei (Person in charge of image database design and implementation)
#   Department of Linguistic Sciences, Hokkaido University Graduate School of Letters
#   North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#   Contact: hdic_info@let.hokudai.ac.jp
#
#   Feel free to copy and distribute.
#   Send bug reports and feature requests via email.
#
#   TSV format information
#   ----------------------
#   SJID (svvwwxyyz)         Book(vv), leaf(ww), recto-verso(x), line(yy) and number(z)
#   SJ2ID                    For headword of two or more characters, add 'a, b, ..., n' at the end of SJID
#   SJ_Rinsen (新xxx-yz)     Page(xxx), line(y) and number(z) in Rinsen shoten edition
#   SJ_vol_radical (xx#yyy)  Volume(xx) and radical number(yyy)
#   SJ_radical               Radical of Chinese character
#   Entry                    Headword
#   Entry_original           Headword based on original image
#   SJ_sources               Yiqiejingyinyi, Qieyun, Yupian, etc. (For details, refer to the following section)
#   SJ_entry_remarks         Editor's notes
#   TBID (v_www_xyz)         Book(v), leaf(www), recto-verso(x), line(y) and number(z)
#   SYID (vwwwxyyzz)         Book(v), leaf(www), recto-verso(x), line(yy) and number(z)
#
#   Abbreviations
#   -------------
#   TB: Tenrei Bansho Meigi 篆隸萬象名義, Kosanji copy 高山寺本
#   SY: Songben Yupian 宋本玉篇, Zecuntang edition 澤存堂本
#   SJ: Shinsen Jikyo 新撰字鏡, Tenji copy 天治本
#   KW: Shinsen Jikyo 新撰字鏡, Kyowa print 享和本
#
#   SJ_sources
#   ----------
#   Yiqiejingyinyi related parts 一切經音義部分
#    一切經音義: Yiqiejingyinyi related items 一切經音義引用項目
#    一切經音義N: Non-Yiqiejingyinyi related items 非一切經音義項目
#
#   Qieyun related parts 切韻引用部分
#    切韻A: Qieyun A, four tones noted as a whole, with the title of Qieyun. 四声一括注記。有切韻書名。e.g., 已上卅八字平聲…已上上々聲…已上去聲…已上出自切韻.
#    切韻B: Qieyun B, four tones noted as a whole, without the title of Qieyun. 四声一括注記。無切韻書名。e.g., 以上入聲…次去聲…次上聲…次平聲…已上四聲了.
#    切韻C: Qieyun C, even (level; 平) tone noted as a whole, while rising (上) tone, departing (going; 去) tone, and entering (checked; 入) tone noted under fanqie, without the title of Qieyun. 平声一括注記。有上・去・入声注記，在反切之下。無切韻書名。
#    切韻D: Qieyun D, four tones noted under fanqie, without the title of Qieyun. Items mentioned above are all Qieyun related parts. 有四声注記，在反切之下。無切韻書名。以上，切韻引用条目。
#    切韻N: Non-Qieyun related items 非切韻引用項目
#
#   Yupian related parts 玉篇引用部分
#    玉篇: Yupian related items 玉篇引用項目
#    玉篇N: Non-Yupian related items 非玉篇引用項目
#
#   Other parts 其他部分
#    出所不詳: Unidentified parts, unknown sources
#    辨別不能: Unseparated parts, mixed sources
#    爾雅: Erya
#    本草: Herbal book 本草木，本草草，本草鳥
#    小學篇: Shōgakuhen, a dictionary of Kokuji (Chinese characters created in Japan)
#    臨時雜要字: Rinjizōyōji, a daily dictionary of Sino-Japanese words in early Japan
#    添加項目: Additional items by people of later times
#
#   References
#   ----------
#   Sakakura Atsuyosi 阪倉 篤義. 1967. Shinsen jikyō no saikentō: Kyōwabon o chūshin ni 新撰字鏡の再檢討―享和本を中心に―. In Yamada Tadao 山田 忠雄 (ed.), Honpō jishoshi ronsō 本邦辭書史論叢, 359—392. Tokyo :Sanseidō 三省堂.
#   Ueda Tadashi 上田 正. 1981. Shinsen jikyō no Setsuin bubun ni tsuite [On quotations from Qieyun in the Shinsen jikyō] 新撰字鏡の切韻部分について. Kokugogaku 127. 13—20.
#   Ueda Tadashi 上田 正. 1984. Setsuin itsubun no kenkyū [A study of fragments of the Qieyun] 切韻逸文の研究. Tokyo: Kyūko shoin 汲古書院.
#   Ueda Tadashi 上田 正. 1986. Gyokuhen hansetsu sōran [A complete list of fanqie in the original Yupian] 玉篇反切總覽. Kobe: Private edition.
#   Sadakari Itoku 貞苅 伊徳. 1998. Shinsen jikyō no kenkyū [A study of Shinsen jikyō] 新撰字鏡の研究. Tokyo: Kyūko shoin 汲古書院.
#
#   Primary Sources
#   ---------------
#   Yuanben Yupian 原本玉篇. Tōhō bunka sōsho dairoku 東方文化叢書第六, Tokyo: Tōhō bunka gakuin, 1932
#   Songben Yupian 宋本玉篇. Kunaichō shoryōbu zō Daikō ekikai Gyokuhen 宮内廳書陵部藏大廣益會玉篇 (box 515, no.106, photographic images).
#   Tenreibanshōmeigii 篆隸萬象名義.Kōsanji shiryō sōsho 高山寺資料叢書 6, Tokyo: Tokyo daigaku shuppankai, 1977.
#   Shinsenjikyō 新撰字鏡. Tenjibon Shinsen jikyō revised edition 天治本新撰字鏡增訂版, Kyoto: Rinsen shoten, 1973
#   Ruijumyōgishō 類聚名義抄 (Zushoryōbon 圖書寮本). Zushoryōbon Ruiju myōgishō 圖書寮本類聚名義抄, Tokyo: Kunaichō Shoryōbu, Insatsu benridō, 1950.
#   Ruijumyōgishō 類聚名義抄 (Kanchi'inbon 觀智院本). Tenri toshokan zenbon sōsho washo no bu 天理圖書館善本叢書和書之部33, Tokyo: Yagi shoten, 1976.
#
#   Acknowledgments
#   ---------------
#   We are grateful to the Imperial Household Archives 宮内廳書陵部 for permission to publish the decipherment text of TSJ.
#   This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422.
#
SJID	SJ2ID	SJ_Rinsen	SJ_vol_radical	SJ_radical	Entry	Entry_original	SJ_source	SJ_entry_remarks	TBID	SYID
s0104a601	s0104a601	新21-61	v1#1	天部第一	天	◯	出所不詳		1_016_A53	a005b012
s0104a602	s0104a602a	新21-62	v1#1	天部第一	𬻃	○	出所不詳			
s0104a603	s0104a602a	新21-63	v1#1	天部第一	𠀘	⿱⿱一丷兀	出所不詳	字頭：原作「⿱⿱一丷兀」。	1_016_A55	a005b052
s0104a604	s0104a602a	新21-64	v1#1	天部第一	𠕹	◯	出所不詳			
s0104a605	s0104a602a	新21-65	v1#1	天部第一	⿳一⿰从兀	◯	出所不詳			
s0104a701	s0104a701	新21-71	v1#1	天部第一	⿸疒⿱龷天	◯	出所不詳			
s0104a702	s0104a702a	新21-72	v1#1	天部第一	昊	◯	出所不詳		3_039_B51	a093b052
s0104a703	s0104a702a	新21-73	v1#1	天部第一	⿱⿰日白平	◯	出所不詳			
s0104a704	s0104a704	新21-74	v1#1	天部第一	⿱曰⿰干乇	◯	出所不詳			
s0104a705	s0104a705	新21-75	v1#1	天部第一	鬵	◯	出所不詳		5_027_B51	b053b083
s0104a801	s0104a801	新21-81	v1#1	天部第一	替	⿱天天曰	出所不詳	字頭：原作「⿱天天曰」。	1_067_B61	a031b032
s0104a802	s0104a802	新21-82	v1#1	天部第一	呑	⿱天口	出所不詳	字頭：原作「⿱天口」。	2_010_A12	a049a014
s0104a803	s0104a803	新21-83	v1#1	天部第一	𡘸	◯	出所不詳			
s0104a804	s0104a804	新21-84	v1#1	天部第一	昋	⿱天日	出所不詳	字頭：原作「⿱天日」。	5_126_B31	b086b034
s0104b101	s0104b101	新22-11	v1#1	天部第一	䪞	⿱天非	出所不詳	字頭：原作「⿱天非」。		
s0104b102	s0104b102	新22-12	v1#1	天部第一	𠿓	⿰口⿱天非	出所不詳	字頭：原作「⿰口⿱天非」。	2_017_A61	a051a101
s0104b103	s0104b103	新22-13	v1#1	天部第一	皮	◯	出所不詳		6_096_B62	c044b046
s0104b201	s0104b201	新22-21	v1#1	天部第一	噆	⿰口⿱⿰天天日	出所不詳	字頭：原作「⿰口⿱⿰天天日」。「噆」或「𠾱」之異體字。		
s0104b202	s0104b202	新22-22	v1#1	天部第一	忝	⿱天水	出所不詳	字頭：原作「⿱天水」。	2_091_B11	a077a024
s0104b203	s0104b203	新22-23	v1#1	天部第一	吴	◯	出所不詳	參看「吳」「呉」字。	5_148_A42	c010b042
s0104b204	s0104b204	新22-24	v1#1	天部第一	𥉁	𥈏	玉篇	字頭：原作「𥈏」，當作「𥉁」。	3_039_B32	a093b042
s0104b301	s0104b301	新22-31	v1#1	天部第一	奡	⿱百天	玉篇	字頭：原作「⿱百天」。「奡」之異體字。新716-61重出。	3_039_B41	a093b043
s0104b302	s0104b302	新22-32	v1#1	天部第一	臩	⿱⿰⿵冂天巨⿰冫天	玉篇	字頭：原作「⿱⿰⿵冂天巨⿰冫天」。	3_039_B42	a093b044
s0104b303	s0104b303a	新22-33	v1#1	天部第一	栞β	◯	出所不詳			
s0104b304	s0104b303a	新22-34	v1#1	天部第一	𣓁	◯	出所不詳		4_009_A41	b016a011
s0104b305	s0104b305b	新22-35	v1#1	天部第一	謂	◯	出所不詳	爾雅・釋天。		
s0104b306	s0104b305b	新22-36	v1#1	天部第一	天	◯	出所不詳	爾雅・釋天。		
s0104b307	s0104b305b	新22-37	v1#1	天部第一	宆	◯	出所不詳	爾雅・釋天。		
s0104b401	s0104b305b	新22-41	v1#1	天部第一	隆	◯	出所不詳			
s0104b402	s0104b305b	新22-42	v1#1	天部第一	又	◯	出所不詳			
s0104b403	s0104b305b	新22-43	v1#1	天部第一	曰	◯	出所不詳			
s0104b404	s0104b305b	新22-44	v1#1	天部第一	乹	◯	出所不詳			
s0104b405	s0104b305b	新22-45	v1#1	天部第一	台	◯	出所不詳			
s0104b406	s0104b406c	新22-46	v1#1	天部第一	空	◯	出所不詳			
s0104b407	s0104b406c	新22-47	v1#1	天部第一	天	◯	出所不詳			
s0104b408	s0104b406c	新22-48	v1#1	天部第一	天	◯	出所不詳			
s0104b409	s0104b406c	新22-49	v1#1	天部第一	中	◯	出所不詳			
s0104b410	s0104b406c	新22-4A	v1#1	天部第一	虚	◯	出所不詳			
s0104b411	s0104b406c	新22-4B	v1#1	天部第一	空	◯	出所不詳			
s0104b412	s0104b412d	新22-4C	v1#1	天部第一	謂	◯	出所不詳			
s0104b413	s0104b412d	新22-4D	v1#1	天部第一	九	◯	出所不詳			
s0104b414	s0104b412d	新22-4E	v1#1	天部第一	天	◯	出所不詳			
s0104b501	s0104b412e	新22-51	v1#1	天部第一	蒼	◯	出所不詳			
s0104b502	s0104b412e	新22-52	v1#1	天部第一	天	◯	出所不詳			
s0104b503	s0104b503f	新22-53	v1#1	天部第一	炎	◯	出所不詳			
s0104b504	s0104b503f	新22-54	v1#1	天部第一	天	◯	出所不詳			
s0104b505	s0104b505g	新22-55	v1#1	天部第一	昊	◯	出所不詳			
s0104b506	s0104b505g	新22-56	v1#1	天部第一	天	◯	出所不詳			
s0104b507	s0104b507h	新22-57	v1#1	天部第一	幽	◯	出所不詳			
s0104b508	s0104b507h	新22-58	v1#1	天部第一	天	◯	出所不詳			
s0104b509	s0104b509i	新22-59	v1#1	天部第一	玄	◯	出所不詳			
s0104b510	s0104b509i	新22-5A	v1#1	天部第一	天	◯	出所不詳			
s0104b511	s0104b511j	新22-5B	v1#1	天部第一	變	◯	出所不詳			
s0104b512	s0104b511j	新22-5C	v1#1	天部第一	天	◯	出所不詳			
s0104b601	s0104b601k	新22-61	v1#1	天部第一	鉤	◯	出所不詳			
s0104b602	s0104b601k	新22-62	v1#1	天部第一	天	◯	出所不詳			
s0104b603	s0104b603k	新22-63	v1#1	天部第一	又	◯	出所不詳			
s0104b604	s0104b603k	新22-64	v1#1	天部第一	九	◯	出所不詳	藝文類聚卷第一天部上・天・「太玄曰，有九天，一爲中天，二爲羨天，三爲從天，四爲更天，五爲睟天，六爲廓天，七爲咸天，八爲沈天，九爲成天，又曰，天以不見爲玄」。		
