# HDIC Project
# HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
# Tenjibon Shinsen-Jikyo (TSJ) : Rikugokan edition, Rinsen shoten edition ,National Diet Library Digital Collections and Database of Pre-Modern Japanese Works
# Version: 1.1.3
# Date: 1 January 2022
# Last update : 27 March 2022
#
# Copyright (c) 2022 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# Research group of Linguistics, Hokkaido University Faculty of Humanities and Human Siences
# North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
# Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com
#
# Data License Information and Access Rights
# License: 
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability): 
# Open access
#
# TSV format information
# ----------------------
# SJ_vol: 篇立次第, 巻1-12
# SJ_vol_leaf(svvwwx): Book(vv), leaf(ww) and recto-verso(x)
# SJ_Rinsen_p: Page(xxx) in Rinsen shoten edition
# NDL_URL_1916: 813.2-Sy968s, Rikugokan edition 1916
# NIJL_URL_micro:Database of Pre-Modern Japanese Works, National Institute of Japanese Literature, 宮内庁書陵部 書陵部蔵マイクロデジタル変換 DOI 10.20730/100290337
SJ_vol	SJ_vol_leaf	SJ_Rinsen_p	NDL_URL_813.2-Sy968s_1916	NIJL_Shoryobu_micro
篇立次第	s0000a	1	https://dl.ndl.go.jp/info:ndljp/pid/3438195/7	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/9
篇立次第	s0000b	2	https://dl.ndl.go.jp/info:ndljp/pid/3438195/8	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/10
篇立次第	s0001a	3	https://dl.ndl.go.jp/info:ndljp/pid/3438195/8	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/11
篇立次第	s0001b	4	https://dl.ndl.go.jp/info:ndljp/pid/3438195/9	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/12
篇立次第	s0002a	5	https://dl.ndl.go.jp/info:ndljp/pid/3438195/9	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/13
篇立次第	s0002b	6	https://dl.ndl.go.jp/info:ndljp/pid/3438195/10	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/14
篇立次第	s0003a	7	https://dl.ndl.go.jp/info:ndljp/pid/3438195/10	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/15
篇立次第	s0003b	8	https://dl.ndl.go.jp/info:ndljp/pid/3438195/11	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/16
篇立次第	s0004a	9	https://dl.ndl.go.jp/info:ndljp/pid/3438195/11	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/17
篇立次第	s0004b	10	https://dl.ndl.go.jp/info:ndljp/pid/3438195/12	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/18
