#   HDIC Project
#   Integrated Database of Hanzi Dictionaries in Early Japan
#
#   TSJ: Tenjibon Shinsen Jikyo database -- Wakun (Japanese readings)
#
#   Tenjibon Shinsen Jikyo 新撰字鏡, Tenji copy 天治本.
#   A complete manuscript of 1124 is held by the Imperial Household Archives.
#   Buddhist monk Shoju 昌住, c. 898-901.
#   A Hanzi (Chinese character) dictionary.
#
#   TSJ_wakun.tsv
#   Version: 1.1.5
#   Date published: January 17, 2026
#   Last modified: June 25, 2026
#
#   Copyright (c) 2018-2026 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
#   LI Yuan (Person in charge of text data proofreading)
#   LIU Guanwei (Person in charge of image database design and implementation)
#   Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com
#   License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
#
#   Column Definitions:
# 1. tsj_id: Location in the Tenji-bon manuscript (Vol/Leaf/Side/Line/Char).
# 2. sj_w_id: Unique permanent reference ID (format: sj_w00001). 'sj' = Shinsen Jikyō, 'w' = wakun. Designed for scalability and cross-dictionary comparative research.
# 3. rinsen_loc: Reference to the Rinsen Shoten Shinsen Jikyō facsimile edition (1967).
# 4. entry_text: Headword as it appears in the Tenji-bon, including single characters, compounds, and variant forms.
# 5. entry_type: Classification of the headword based on its structure (single_char, compound, or variant).
# 6. def_manyogana: Wakun in Man'yōgana (Tenji-bon). Marks: □ (illegible), ( ) (supplement), # (Kyōwa-bon variant). Blank if absent in Tenji-bon.
# 7. reading_kana_kanji: Katakana and Kanji notation (historical orthography) based on the Kyoto University Index (1975).
# 8. kyowa_entry_text: Headword as it appears in the Kyōwa-bon manuscript.
# 9. kyowa_manyogana: Wakun in Man'yōgana (Kyōwa-bon). Marked with '#' for word form differences from Tenji-bon. Blank if absent in Kyōwa-bon.
# 10. kyowa_loc: Location identifier in the Kyōwa-bon manuscript (Folio/Side/Line/Char).
# 11. zhang_page: Page reference in Zhang & Wu, "Xin zhuan zi jing xiao zhu" 新撰字鏡校注 (Zhejiang University Press, 2024).
# 12. reading_historical_kana: Wakun in Hiragana (historical orthography) based on the Kyoto University Index (1975).
# 13. nikkoku_example_check: Status in Nikkoku (2nd Ed.).
#     ✓            = Tenji cited as example in Nikkoku; Shinsen Jikyō listed in 表記 field.
#     ✓享和本       = Kyowa cited as example in Nikkoku; Shinsen Jikyō listed in 表記 field.
#     日国表記未収   = Nikkoku entry exists but Shinsen Jikyō not listed in 表記 field.
#     listed        = Shinsen Jikyō listed in 表記 field but not cited as example.
#     pending       = presence of corresponding entry in Nikkoku under investigation.
#     no entry      = confirmed absent from Nikkoku (nikkoku_id = N/A).
#     (Note: Additional reference notes, specific contexts, or textual variants may be appended to these classifications.)
# 14. nikkoku_id: Reference ID for the Nikkoku 2nd Ed. entry. Note that an ID does not guarantee the verification of citation status in Col 13.
# 15. remarks: Research notes on textual variants, reading normalization, and comments on Zhang's commentary.
# 16. pos: Part-of-speech classification of the wakun (e.g., 名詞, 動詞, 形容詞, 形容動詞, 副詞, 連語).
#
#   Abbreviations & References:
#   国語索引: 京都大学文学部国語学国文学研究室編『新撰字鏡国語索引』1958、再版臨川書店、1975.
#     (Kyoto Index): "Shinsen Jikyō Kokugo Sakuin" (Index of Japanese Readings) compiled by Kyoto University, 1975.
#   張磊校注: 張磊・吴美富『新撰字鏡校注』浙江大学出版社、2024.
#     (Zhang Lei): Zhang Lei & Wu Meifu, "Xin zhuan zi jing xiao zhu" 新撰字鏡校注 (Zhejiang University Press, 2024).
#   山田索引: 山田孝雄『新撰字鏡攷異并索引』六合館、1916.
#     (Yamada Index): Yamada Yoshio, "Shinsen Jikyō Kōi narabini Sakuin" (1916).
#   山田攷異: 山田孝雄『新撰字鏡攷異并索引』六合館、1916.
#     (Yamada Kōi): Yamada Yoshio, "Shinsen Jikyō Kōi narabini Sakuin" (1916).
#   日国: 『日本国語大辞典 第二版』小学館、2000-2002.
#     (Nikkoku): "Nihon Kokugo Daijiten" (Comprehensive Dictionary of the Japanese Language), 2nd Ed.
#
#   Acknowledgments:
#   We are grateful to the Imperial Household Archives 宮内庁書陵部 for permission to publish the decipherment text of TSJ.
#   This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422, 19H00526, 23K17500 and 25K00466.
#
#   Changelog:
#   v1.1.2 (2026-05-22):
#     - Updated col 13 (nikkoku_example_check): expanded value set with detailed descriptions (listed, pending, no entry).
#     - Revised col 15 (remarks): additional research notes incorporated from tsj_wakun20260522.xlsx.
#   v1.1.1 (2026-05-21):
#     - Added col 16 (pos): part-of-speech classification added for 3,420 of 3,828 entries.
#     - Expanded col 15 (remarks): morphological and etymological analysis notes added to 267 entries.
#     - Corrected col 7 (reading_kana_kanji) in 25 entries and col 12 (reading_historical_kana) in 8 entries.
#     - Updated col 14 (nikkoku_id) in 19 entries and col 13 (nikkoku_example_check) in 6 entries.
#     - Normalized col 11 (zhang_page): replaced 42 "#N/A" string values with blank.
#     - Corrected col 1 (tsj_id) in 3 entries (e.g., s1222a711 -> s1242a711 for sj_w03408-03409).
#     - Corrected col 4 (entry_text) and col 8 (kyowa_entry_text) in 4 entries each (e.g., 𧥶 -> 䚾 for sj_w00800-00801).
#     - Cleared all fields of sj_w00146 (reading reassigned; previously recorded as 腡 テノアヤ).
#   v1.0.1 (2026-02-10): Minor corrections to nikkoku data and textual variants.
#
tsj_id	sj_w_id	rinsen_loc	entry_text	entry_type	def_manyogana	reading_kana_kanji	kyowa_entry_text	kyowa_manyogana	kyowa_loc	zhang_page	reading_historical_kana	nikkoku_example_check	nikkoku_id	remarks	pos
s0104a705	sj_w00001	新21-75	鬵	単字	倭云加奈戸	カナヘ（鬵）	鬵	倭云加奈戸	01a31	1	かなへ	✓	200200e00719O8R6hx9U		名詞
s0104a804	sj_w00002	新21-84	昋	単字	和云比加利弖留	ヒカリテル（昋）	昋	倭云比加利天留	01a32	2	ひかりてる	no entry	N/A	名詞（ヒカリ）＋動詞（テル）；Head: テル；	連語（定義文・主述構造）
s0104b102	sj_w00003	新22-12	𠿓	単字	加太奈志	カタナシ（𠿓）	𠿓	倭云加太奈志	01a41	2	かたなし	✓	200200d82703b93DJ8PZ		形容詞
s0104b103	sj_w00004	新22-13	蚕	単字	久礼〻〻弥受	クレノミミズ（蚕）	蚕	久禮乃弥〻受	01a51	2	くれのみみず	✓享和本	2002014b7d69cz2kt5NL	かいこ（蝅）の異名。くれ（呉）のみみずの意。	名詞
s0104b201	sj_w00005	新22-21	噆	単字	比留須比波牟	ヒルスヒハム（噆）				2	ひるすひはむ	no entry	N/A	名詞（ヒル、蛭）＋動詞（スフ、四段連用形）＋動詞（ハム、四段終止形）；Head: ハム；「噆」は「口に含む」「（虫が）刺す」意。『荘子』等では蚊や虻の動作として用いられるが、『新撰字鏡』は主語を「ヒル（蛭）」と定め、「吸ひ食む（吸着して食いつく）」と具体的に描写している。「嗛（口に含む）」という字義を、「吸ふ」という動作を補って的確に表現した和訓である。	連語（定義文）
s0104b202	sj_w00006	新22-22	忝	単字	波豆	ハヅ（忝）				2	はづ	listed	2002035e06d5C8V6Pocl		動詞
s0104b305b	sj_w00007	新22-35	謂天宆隆又曰乹台	熟語	於保曽良	オホゾラ（謂天宆隆又曰乹台）	乾天台	於保曽良	01a52	2	おほぞら	listed	2002008ffabfJY07I5ie		名詞
s0106a204	sj_w00008	新25-24	曬	単字	左羅須	サラス（曬）	曬	#佐留須	01a71	5	さらす	listed	200201c5d4efJpabCVyL		動詞
s0106a204	sj_w00009	新25-24	曬	単字	#左羅須	サルス（曬）	曬	佐留須	01a71	5	さるす	no entry	N/A	「サラス」の誤り。	動詞
s0106a204	sj_w00010	新25-24	曬	単字	保須	ホス（曬）	曬	保須	01a71	5	ほす	listed	200203dc6274xP754u1M		動詞
s0106a303	sj_w00011	新25-33	昵	単字	加久	カクス（昵）	昵	加久須	01a81	5	かくす	listed	200200c71445ummUiEjd	【校勘・脱字】天治本「須」を脱。『説文』等における「昵」の本来の字義「近也」「親也」には直接対応しない。異体字である「暱」が構成要素（声符）として「匿」を含むことから、「匿（カクス）」に通用し、隠匿の意に転じたものと解される。『類聚名義抄』にも継承されており、平安期の辞書空間においては「近親」の義と並立して定着していたことが知られる。	動詞
s0106a303	sj_w00012	新25-33	昵	単字	久良	クラシ（昵）	昵	久良志	01a81	5	くらし	listed	2002014700fcgWtVOHD5	【校勘・誤写】天治本に誤脱あり。『新撰字鏡』所出（天治本「久良」、享和本「久良志」）。「カクス」と同様に本来の字義には対応しない和訓。異体字「暱」の字形（日＋匿）から、「日（太陽）が隠れる」、転じて「暗い」という視覚的・意味的な連想が働き、派生した訓と考えられる。	形容詞
s0106a404b	sj_w00013	新25-44	晈	単字	テラス	テラス（晈）				6	てらす	listed	200202ea18d8PviloTP4		動詞
s0106a503b	sj_w00014	新25-53	曉	単字	安介奴	アケヌ（曉）				6	あけぬ	listed	2002000eda22iSBFyVg7	動詞（アク、連用形）＋助動詞（ヌ、完了）；Head: アク；	連語（動詞句）
s0106a503b	sj_w00015	新25-53	曉	単字	安志太	アシタ（曉）				6	あした	listed	200200133911kMJ8202E		名詞
s0106a602	sj_w00016	新25-62	曀	単字	久毛利天加世不久	クモリテカゼフク（曀）	曀	久毛利天風吹	01b11	6	くもりてかぜふく	no entry	N/A	動詞（クモル、連用形）＋接続助詞（テ）＋名詞（カゼ）＋動詞（フク）；Head: フク；「曀」は曇って風が吹くこと。『説文解字』等の「陰而風也（陰りて風ふくなり）」という定義文を、そのまま「クモリ（陰）＋テ（而）＋カゼフク（風）」と和訓化した「定義訓」の典型例である。	連語（定義文・動詞句）
s0106a602	sj_w00017	新25-62	曀	単字	久留	クル（曀）	曀	久留	01b11	6	くる	✓	2002014ba036vNPUFv0o		動詞
s0106a602	sj_w00018	新25-62	曀	単字		タナグモレリ（曀）	曀	太奈久毛礼利	01b11	6	たなぐもれり	✓享和本	200202a42951Tz0jdgE2	接頭辞（タナ）＋動詞（クモル、已然形）＋助動詞（リ、完了存続）；Head: クモル；一面にくもっている。	連語（動詞句）
s0106a602	sj_w00019	新25-62	曀	単字	太奈久礼利	タナクレリ（曀）	曀		01b11	6	たなくれり	no entry	N/A	接頭辞（タナ）＋動詞（クル、已然形）＋助動詞（リ、完了存続）；Head: クル；すっかりくれている。	連語（動詞句）
s0106a801	sj_w00020	新25-81	晧	単字	弖留	テル（晧）				6	てる	listed	200202ea8ffe688xDT0y		動詞
s0106a801	sj_w00021	新25-81	晧	単字	比加利	ヒカリ（晧）				6	ひかり	listed	2002037f2cea986BwMoG		名詞
s0106b102	sj_w00022	新26-12	㬓	単字	保須	ホス（㬓）	㬓	保須	01b21	6	ほす	listed	200203dc6274xP754u1M		動詞
s0106b201	sj_w00023	新26-21	暿	単字	佐也加尓安リ	サヤカニアリ（暿）	暿	佐也加尓在	01b31	6	さやかにあり	日国「さやか」	200201c4d7e4u94lWf9x		形容動詞
s0106b201	sj_w00024	新26-21	暿	単字	目支与志	ヒキヨシ（暿）	暿	日支与志	01b31	6	ひきよし	no entry	N/A	名詞（ヒ、日）＋形容詞（キヨシ）；Head: キヨシ；新撰字鏡「日晴也」「日浄皃」とあり、晴天のこと。	連語（定義・主従関係）
