# HDIC Project
# TSJ (Tenjibon Shinsen Jikyo) radical-by-radical proofreading progress tracker
# Generated 2026-08-19 from TSJ_entries.tsv (SJ_vol_radical / SJ_radical / entry counts).
# status: 未確認 (not yet reviewed via this tracker) / 進行中 / 完了
# This tracker starts with all rows as 未確認 -- it does NOT claim that no prior
# proofreading was ever done (see git log for extensive prior radical-by-radical work).
# It only reflects status going forward from 2026-08-19.
#
vol_radical	radical_name	entry_count	status	last_checked_date	notes
v1#1	天部第一	266	未確認		
v1#2	日部第二	225	未確認		
v1#3	月部第三	57	未確認		
v1#4	肉部第四	392	未確認		
v1#5	雨部第五	115	未確認		
v1#6	气部第六	11	未確認		
v1#7	風部第七	64	未確認		
v1#8	火部第八	258	未確認		
v1#9	連火部第九	62	未確認		
v1#10	人部第十	61	未確認		
v1#11	亻部第十一	539	未確認		
v2#12	父部第十二	8	未確認		
v2#13	親族部第十三	207	未確認		
v2#14	身部第十四	27	未確認		
v2#15	頁部第十五	206	未確認		
v2#16	面部第十六	33	未確認		
v2#17	目部第十七	277	未確認		
v2#18	口部第十八	517	未確認		
v2#19	舌部第十九	32	未確認		
v2#20	耳部第廿	101	未確認		
v2#21	鼻部第廿一	28	未確認		
v2#22	齒部第廿二	89	未確認		
v2#23	心部第廿三	182	未確認		
v2#24	手部第廿四	40	未確認		
v2#25	足部第廿五	261	未確認		
v2#26	皮部第廿六	38	未確認		
v3#27	毛部第廿七	68	未確認		
v3#28	色部第廿八	17	未確認		
v3#29	疒部第廿九	268	未確認		
v3#30	言部第卅	458	未確認		
v3#31	骨部第卅一	78	未確認		
v3#32	尸部第卅二	94	未確認		
v3#33	女部第卅三	361	未確認		
v3#34	髟部第卅四	110	未確認		
v3#35	支部第卅五	44	未確認		
v3#36	力部第卅六	86	未確認		
v4#37	糸部第卅八	482	未確認		
v4#38	衣部第卅九	286	未確認		
v4#39	食部第四十	189	未確認		
v4#40	米部第四十一	116	未確認		
v4#41	网部第四十二	51	未確認		
v4#42	巾部第四十三	169	未確認		
v4#43	酉部第四十四	151	未確認		
v4#44	門部第四十五	122	未確認		
v5#45	馬部第四十五	243	未確認		
v5#46	牛部第四十七	106	未確認		
v5#47	角部第四十八	99	未確認		
v5#48	革部第四十九	160	未確認		
v5#49	丹部第五十	12	未確認		
v5#50	舟部第五十一	91	未確認		
v5#51	車部第五十二	218	未確認		
v5#52	瓦部第五十三	141	未確認		
v5#53	缶部第五十四	40	未確認		
v5#54	斗部第五十五	25	未確認		
v5#55	見部第五十六	93	未確認		
v5#56	鼓部第五十七	22	未確認		
v5#57	勹部第五十八	35	未確認		
v5#58	土部第五十九	350	未確認		
v5#59	石部第六十	213	未確認		
v6#60	山部第六十一	252	未確認		
v6#61	谷部第六十二	26	未確認		
v6#62	王部第六十三	12	未確認		
v6#63	玉部第六十四	258	未確認		
v6#64	田部第六十五	84	未確認		
v6#65	三水部第六十六	875	未確認		
v6#66	二水部第六十七	59	未確認		
v6#67	金部第六十八	523	未確認		
v7#68	木部第六十八	822	未確認		
v7#69	小学篇及本草木異名第六十九	221	未確認		
v7#70	草部第七十	1034	未確認		
v7#71	小学篇字及本草木異名第七十一	300	未確認		
v8#72	禾部第七十二	144	未確認		
