# HDIC Project
# HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
# KRM: Kanchi’inbon Ruiju Myogisho database
#
# Ruiju myogishō 類聚名義抄, Kanchi’in copy 観智院本, reorganized edition 改編本.
# anonymous Buddhist monk, the latter half of the 12th century.
#
# krm_main.tsv
#
# Version: 1.2.6
# Date: 11 March 2022
# Last update : 11 May 2025
#
# This file is a new version of KRM.tsv with updated specifications.
# The version number of KRM.tsv was 1.1.347, and it was last updated on March 17, 2025.
# This new version has been renamed to krm_main.tsv and will start with version 1.2.0.
#
# Copyright (c) 2022-2025 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com, kleinekuma@gmail.com
#
# Data License Information and Access Rights
# License:
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability):
# Open access
#
# KRM format information:
# entry_id	A heading item ID formed by a 5-digit numeric ID starting with 'F'. For some added entry items, a 'b' suffix is appended.
# hanzi_id	A heading Hanzi ID consisting of a 5-digit numeric ID starting with 'S'. For some added entry items, a 'b' suffix is appended.
# kazama_location	An ID indicating K + Volume (2 digits) + Kazama Edition Page (3 digits) + Line (1 digit) + Segment (1 digit) + 字順 (1 digit). Details of the rules for assigning 字順 are defined separately.
# tenri_location	An ID indicating T + Volume (a/b/c) + Tenri Edition Page (3 digits) + Line (1 digit) + Segment (1 digit) + 字順 (1 digit). Details of the rules for assigning 字順 are defined separately.
# volume_name	Name of the volume, consisting of 10 volumes: 仏上, 仏中, 仏末本, 仏末下, 法上, 法中, 法下, 僧上, 僧中, and 僧下.
# radical_name	Hanzi name of the radical, consisting of 160 radicals ranging from 人 to 雑, used to classify Hanzi characters.
# volume_radical_index	Volume and radical number, ranging from v1#1 to v10#120, indicating the location of the entry within the text.
# hanzi_entry	Corrected hanzi are principally in the Kangxi Dictionary form. Unicode simplified characters (common-use characters, popular variants) may also be retained. Multiple-kanji headwords are separated by / (full-width slash). The abbreviation symbol "｜" is represented by "ー" (long vowel mark), with the corresponding character in parentheses.
# original_entry	Headword close to original form. Errors as is. Non-Unicode variants: IDS or ■. Like hanzi_entry, "〇" if no original-glyph headword needed.
# definition	Includes glyph annotations, pronunciation annotations, meaning annotations, Japanese readings (wakun), and other relevant notes, separated by spaces. As a general rule, character forms included in the "Kangxi Dictionary style" should be used.
#
#   Abbreviations:
#   正宗索引: 正宗敦夫編『類聚名義抄 仮名索引』日本古典全集刊行会，1939-1940
#   望月和訓集成: 望月郁子編『類聚名義抄：四種声点付和訓集成』(笠間索引叢刊44)笠間書院，1974
#   草川和訓集成: 草川昇編『五本対照類聚名義抄和訓集成』汲古書院，2000
#   西端誤写考察: 西端幸雄「類聚名義抄における誤写の考察」『訓点語と訓点資料』45，1971
#   西端誤写諸例: 西端幸雄「類聚名義抄における誤写の諸例」『訓点語と訓点資料』52，1973
#
# Acknowledgments:
# We are grateful to Tenri Central Library and Yagi Shoten for permission to publish the decipherment text of KRM.
#
# This work was supported by JSPS KAKENHI Grant Number 16H03422, 19H00526, 23K17500 and 25K00466.
#
entry_id	hanzi_id	kazama_location	tenri_location	volume_name	radical_name	volume_radical_index	hanzi_entry	original_entry	definition
F00001	S00001	K01001310	Ta023310	仏上	人	v1#1	人	〇	音仁（LV）「ニン」　ヒト（HL）　ワレ（LL）　サネ　マホル　ユク
F00002	S00002	K01001331	Ta023331	仏上	人	v1#1	一／人	〇／〇	ヒトリ（LH_）
F00003	S00004	K01001341	Ta023341	仏上	人	v1#1	二／人	〇／〇	フタリ（HHL）
F00004	S00006	K01001411	Ta023411	仏上	人	v1#1	五／ー（人）	〇／〇	イトリ（LHL）
F00005	S00008	K01001421	Ta023421	仏上	人	v1#1	ー（人）／等	〇／〇	ヒトヽモ（HHHVH）
F00006	S00010	K01001431	Ta023431	仏上	人	v1#1	湯／ー（人）	〇／〇	ユヱ（L_）
F00007	S00012	K01001441	Ta023441	仏上	人	v1#1	真／人	〇／〇	マフト（HHL）
F00008	S00014	K01001511	Ta023511	仏上	人	v1#1	漁／ー（人）	〇／〇	アマ（LL）
F00009	S00016	K01001521	Ta023521	仏上	人	v1#1	海／ー（人）	〇／〇	同上
F00010	S00018	K01001531	Ta023531	仏上	人	v1#1	盗／ー（人）	〇／〇	ヌスヒト
F00011	S00020	K01001541	Ta023541	仏上	人	v1#1	不／良／人	〇／〇／〇	同上
F00012	S00023	K01001611	Ta023611	仏上	人	v1#1	毛／ー（人）	〇／〇	ヱヒス
F00013	S00025	K01001621	Ta023621	仏上	人	v1#1	白／ー（人）	〇／〇	シレモノ
F00014	S00027	K01001631	Ta023631	仏上	人	v1#1	桃／ー（人）	〇／〇	モヽノサネ（___LL）
F00015	S00029	K01001641	Ta023641	仏上	人	v1#1	ー（人）／參	〇／参	カノニケクサ（LLLLVHVL）
F00016	S00031	K01001710	Ta023710	仏上	人	v1#1	佛	〇	音費（R）「ヒ」　ホノカナリ　又符「フ」弗（S）「フツ」反　ホトケ　ヲホキニス-ナリ（LLHLH-__）　タチマチ　又音弼（S）「ヒチ」　タスク（LLH）　和音部ツ
F00017	S00032	K01001740	Ta023740	仏上	人	v1#1	仏	〇	俗佛字　又見別字
F00018	S00033	K01001811	Ta023811	仏上	人	v1#1	仿／佛	〇／〇	ホノカナリ　上芳往反　*ホノカナリ　ヲホツカナシ　ナラフ　カタヒク　イカル　下音費
F00019	S00035	K01001840	Ta023840	仏上	人	v1#1	㑂	〇	或作髣正
F00020	S00036	K01002111	Ta024111	仏上	人	v1#1	仿／像	〇／〇	ホノカナリ　下在下
F00021	S00038	K01002120	Ta024120	仏上	人	v1#1	㐻	〇	内（R）「タイ」納二音
F00022	S00039	K01002130	Ta024130	仏上	人	v1#1	僧	〇	蘇曽（F）反　カハラク（HHHLV）　ネムコロ　サトル　和音ソウ（LL-N）
F00023	S00040	K01002210	Ta024210	仏上	人	v1#1	傮	〇	遭（L）「サウ」曹（L）「サウ」二音　終也
F00024	S00041	K01002220	Ta024220	仏上	人	v1#1	⿰亻胃	〇	音謂（R）「ヰ」　胃也　サソフ
F00025	S00042	K01002230	Ta024230	仏上	人	v1#1	倡	〇	音昌（H）　ウタヽヽヒ（HH__L）　ウタメ　ウタフ　イサナウ（LLV__）　アソフ　マフ　ワサウタ（HHV__）
F00026	S00043	K01002311	Ta024311	仏上	人	v1#1	ー（倡）／導	〇／〇	イサナヒミチヒク（LLVHH____）
F00027	S00045	K01002321	Ta024321	仏上	人	v1#1	ー（倡）／女	〇／〇	ウタメ
F00028	S00047	K01002330	Ta024330	仏上	人	v1#1	侶	〇	音呂（H）　トモ（HH）　トモカラ　和音リヨ（HH）又ロ
F00029	S00048	K01002410	Ta024410	仏上	人	v1#1	㐰	〇	古文信字　マコト
F00030	S00049	K01002420	Ta024420	仏上	人	v1#1	伿	〇	音易（R）　コヽロ　モノウシ　憤也
F00031	S00050	K01002430	Ta024430	仏上	人	v1#1	佋	〇	音韶「セウ」　テラス　カロヽヽシ　〻動廟尊卑之次也
F00032	S00051	K01002511	Ta024511	仏上	人	v1#1	偘／侃	〇／〇	上俗下正　詳視也　空旱（H）反　強直也　𥬇〻　音看（L）之去聲　又苦寒（L）反　如也　正也　大也　タヽノトモ
F00033	S00053	K01002610	Ta024610	仏上	人	v1#1	仁	〇	音人（LV）「ニン」「シム」　キミ（HH）　ナムチ（HHHV）　ヒト（HL）　ウツクシフ（LL___）　メクム　ムツマシ　ヨシ　ヨロコフ　ユルス　シノフ　タフトシ
F00034	S00054	K01002641	Ta024641	仏上	人	v1#1	不／ー（仁）	〇／〇	カタネ（LLL）　アシタヽス（LLLHLV）
F00035	S00056	K01002710	Ta024710	仏上	人	v1#1	仜	〇	音紅（L）　肥也
F00036	S00057	K01002720	Ta024720	仏上	人	v1#1	■	〇	未詳
F00037	S00058	K01002730	Ta024730	仏上	人	v1#1	仕	〇	音士　ツカフ（HHL）　ツカマツル（HL___）　ミヤツカヘ　ツモム
F00038	S00059	K01002810	Ta024810	仏上	人	v1#1	任	〇	音壬（LV）「シム」「ニム」　タヘタリ（LR__、ヘ-フ）　ヲホキナリ（LLHLL）　マカス（LLL）　マヽ（H_）　ホシイマヽ（LLH__）　タモツ（HHL）　ハラム（LLH）　アタル（HH_）　タツ　ヒテ　ヲフ（L_）　マサ　モチイテ　イタク　アツ　又去声
F00039	S00060	K01003110	Ta025110	仏上	人	v1#1	俇	〇	渠往反　遠行〻
F00040	S00061	K01003120	Ta025120	仏上	人	v1#1	住	〇	雉具反　スム（LH）　ハシム　タツ　和地音〔ユ〕（L）
F00041	S00062	K01003130	Ta025130	仏上	人	v1#1	𠌃	〇	スミカ　トヽマル（HHV__）　タハフル　タマフ　ツク
