# HDIC Project
# HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
# KRM: Kanchi’inbon Ruiju Myogisho database
#
# Ruiju myogishō 類聚名義抄, Kanchi’in copy 観智院本, reorganized edition 改編本. 
# anonymous Buddhist monk, the latter half of the 12th century.
#
# krm_wakun.tsv
# Version: 1.2.2
# Date: 11 June 2024
# Last update : 12 May 2025
#
# This file is a new version of KRM_wakun.tsv with updated specifications.
# The version number of KRM.tsv was 1.1.97, and it was last updated on March 17, 2025.
# This new version has been renamed to krm_wakun.tsv and will start with version 1.2.0.
#
# Copyright (c) 2024-2025 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# Research group of Linguistics, Hokkaido University Faculty of Humanities and Human Siences
# North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
# Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com, kleinekuma@gmail.com
#
# Data License Information and Access Rights
# License: 
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability): 
# Open access
#
# KRM Format information:
# wakun_id	Wakun ID, extracted from kr_definition_sequence_id, containing only entries where the type of order is Japanese reading (wakun). Variant forms are appended with 'b', 'c', 'd'.
# definition_seq_id	5-digit numeric ID starting with 'F', sequentially assigned to heading entries. Definition components under each heading are ordered based on their appearance, and order indicators like _01, _02, etc., are appended accordingly. The heading itself is appended with _00.
# kazama_location	An ID indicating K + Volume (2 digits) + Kazama Edition Page (3 digits) + Line (1 digit) + Segment (1 digit) + 字順 (1 digit). Details of the rules for assigning 字順 are defined separately.
# hanzi_entry	Collated Hanzi characters, standardized to the Kangxi dictionary form, including Unicode-representable variant forms.
# wakun_elements	Extracted Japanese reading (wakun) components from the full definition, one component per entry.
# wakun_form	Form of the Japanese reading (wakun). Inflected words are in dictionary form, excluding particles. The particles 'no' and 'to' from 文選 readings are omitted.
# wakun_standard_hanzi	Standard wakun notation using standard kanji.
# wakun_variant_in_hanzi	Variant form of wakun notation using standard Hanzi characters.
# variant_hanzi_for_wakun	Wakun notation using variant Hanzi characters (itai-ji).
# japan_knowledge_id	The alphanumeric part of the JapanKnowledge URL for the corresponding entry in the Nihon Kokugo Daijiten 2nd Ed., starting from "20020" to the end, is recorded here if the wakun exists as a headword. If the wakun does not exist as a headword in the JapanKnowledge edition, null is entered.
#
#
# Abbreviations:
# 正宗索引: 正宗敦夫編, 類聚名義抄 仮名索引, 日本古典全集刊行会, 1939-1940
# 岡田研究: 岡田希雄, 類聚名義抄の研究, 一条書房, 1944
# 望月和訓集成: 望月郁子編, 類聚名義抄: 四種声点付和訓集成, 笠間書院, 1974
# 中村文選: 中村宗彦, 九条本文選古訓集, 風間書房, 1983
# 草川和訓集成: 草川昇編, 五本対照類聚名義抄和訓集成, 汲古書院, 2000
# 西端誤写考察: 西端幸雄, 類聚名義抄における誤写の考察, 訓点語と訓点資料45, 1971
# 西端誤写諸例: 西端幸雄, 類聚名義抄における誤写の諸例, 訓点語と訓点資料52，1973
# 略注: 佐藤喜代治，色葉字類抄略注，明治書院，1995
# 群書治要: 小林芳規・原卓志・山本秀人・山本真吾・佐々木勇編, 宮内庁書陵部蔵本群書治要経部語彙索引, 汲古書院, 1996
# 毛詩鄭箋: 毛詩鄭箋（一）（二）（三）, 古典研究会叢書漢籍之部１～３, 原本所蔵静嘉堂文庫, 汲古書院, 1992
#
# Acknowledgments:
# We are grateful to Tenri Central Library and Yagi Shoten for permission to publishment of the decipherment text of KRM.
#
# This work was supported by JSPS KAKENHI Grant Number 16H03422, 19H00526, 23K17500 and 25K00466.
#
#
wakun_id	definition_seq_id	kazama_location	hanzi_entry	wakun_elements	wakun_form	wakun_standard_hanzi	wakun_variant_in_hanzi	variant_hanzi_for_wakun	japan_knowledge_id
F00001_02	F00001_02	K01001310	人	ヒト（HL）	ひと	ヒト（人）			2002038b2b0dSG3SH587
F00001_03	F00001_03	K01001310	人	ワレ（LL）	われ	ワレ（人）			200204851767360p1xGX
F00001_04	F00001_04	K01001310	人	サネ	さね	サネ（人）			200201c243db1ru6IIxZ
F00001_05	F00001_05	K01001310	人	マホル	まぼる	マボル（人）			200203f5cc6eD384M7bW
F00001_06	F00001_06	K01001310	人	ユク	ゆく	ユク（人）			20020447be39Z4Y8rP88
F00002_01	F00002_01	K01001331	一／人	ヒトリ（LH_）	ひとり	ヒトリ（一人）			2002038ecdd3XdKnc83p
F00003_01	F00003_01	K01001341	二／人	フタリ（HHL）	ふたり	フタリ（二人）			200203af0a542M8zXFS8
F00004_01	F00004_01	K01001411	五／ー（人）	イトリ（LHL）	いとり	イトリ（五人）			2002004af4cczk89koWk
F00005_01	F00005_01	K01001421	ー（人）／等	ヒトヽモ（HHHVH）	ひとども	ヒトドモ（人等）			null
F00006_01	F00006_01	K01001431	湯／ー（人）	ユヱ（L_）	ゆゑ	ユヱ（湯人）			20020445e9e3Cl3L4FY3
F00007_01	F00007_01	K01001441	真／人	マフト（HHL）	まふと	マフト（真人）			20020423f3009MUQ9Qs8
F00008_01	F00008_01	K01001511	漁／ー（人）	アマ（LL）	あま	アマ（漁人）			2002001f021e9Z9IK9Kr
F00009_01	F00009_01	K01001521	海／ー（人）	同上	あま	アマ（海人）			2002001f021e9Z9IK9Kr
F00010_01	F00010_01	K01001531	盗／ー（人）	ヌスヒト	ぬすびと	ヌスビト（盗人）			2002033d2fca41n2IweW
F00011_01	F00011_01	K01001541	不／良／人	同上	ぬすびと	ヌスビト（不良人）			2002033d2fca41n2IweW
F00012_01	F00012_01	K01001611	毛／ー（人）	ヱヒス	えびす	エビス（毛人）			2002007f6800iDQ6vrjW
F00013_01	F00013_01	K01001621	白／ー（人）	シレモノ	しれもの	シレモノ（白人）			2002022ef48ecJNS9dGp
F00014_01	F00014_01	K01001631	桃／ー（人）	モヽノサネ（___LL）	もものさね	モモノサネ（桃人）			2002042cc7489Zi7S429
F00015_01	F00015_01	K01001641	ー（人）／參	カノニケクサ（LLLLVHVL）	かのにげぐさ	カノニゲグサ（人參）			200200e2fa196d6M4v4k
F00016_02	F00016_02	K01001710	佛	ホノカナリ	ほのかなり	ホノカ（佛）			200203e19b0aS2G72RmI
F00016_04	F00016_04	K01001710	佛	ホトケ	ほとけ	ホトケ（佛）			200203e0a05bBOUIZvTu
F00016_05	F00016_05	K01001710	佛	ヲホキニス-ナリ（LLHHH-__）	おほきにす	オホキニス（佛）	オホキ（佛）		2002008dedc90gl611c8
F00016_05b	F00016_05	K01001710	佛	ヲホキニス-ナリ（LLHHH-__）	おほきなり	オホキ（佛）	オホキニス（佛）		2002008dedc90gl611c8
F00016_06	F00016_06	K01001710	佛	タチマチ	たちまち	タチマチ（佛）			200202a0983d122VnbUN
F00016_08	F00016_08	K01001710	佛	タスク（LLH）	たすく	タスク（佛）			2002029da95edAdXmZf1
F00018_01	F00018_01	K01001811	仿／佛	ホノカナリ	ほのかなり	ホノカ（仿佛）			200203e19b0aS2G72RmI
F00018_03	F00018_03	K01001811	仿／佛	*ホノカナリ	ほのかなり	ホノカ（仿佛）			200203e19b0aS2G72RmI
F00018_04	F00018_04	K01001811	仿／佛	ヲホツカナシ	おぼつかなし	オボツカナシ（仿佛）			200200a8b0d2pI94aB1E
F00018_05	F00018_05	K01001811	仿／佛	ナラフ	ならふ	ナラフ（仿佛）			200203292aa3on5zihjq
F00018_06	F00018_06	K01001811	仿／佛	カタヒク	かたひく	カタヒク（仿佛）			200200d88d0e08XQc094
F00018_07	F00018_07	K01001811	仿／佛	イカル	いかる	イカル（仿佛）			200200324792M186e57i
